timestamp,node_id,latency_ms,packet_drop_rate_percent,traffic_volume_gb
2026-06-07T19:37:52.726046,AMF-01,11.22,0.05,125.41
2026-06-07T19:37:52.726046,AMF-02,13.66,0.03,92.67
2026-06-07T19:37:52.726046,SMF-01,12.63,0.0,115.09
2026-06-07T19:37:52.726046,UPF-01,12.66,0.01,168.06
2026-06-07T19:37:52.726046,UPF-02,19.97,0.02,92.11
2026-06-07T19:52:52.726046,AMF-01,17.43,0.1,126.67
2026-06-07T19:52:52.726046,AMF-02,10.11,0.08,148.77
2026-06-07T19:52:52.726046,SMF-01,15.36,0.0,121.24
2026-06-07T19:52:52.726046,UPF-01,17.09,0.06,94.46
2026-06-07T19:52:52.726046,UPF-02,15.95,0.08,82.43
2026-06-07T20:07:52.726046,AMF-01,16.48,0.06,123.51
2026-06-07T20:07:52.726046,AMF-02,16.41,0.01,59.18
2026-06-07T20:07:52.726046,SMF-01,13.35,0.07,199.44
2026-06-07T20:07:52.726046,UPF-01,14.18,0.01,87.56
2026-06-07T20:07:52.726046,UPF-02,19.4,0.04,116.71
2026-06-07T20:22:52.726046,AMF-01,17.15,0.1,151.59
2026-06-07T20:22:52.726046,AMF-02,10.2,0.0,58.82
2026-06-07T20:22:52.726046,SMF-01,17.15,0.01,145.54
2026-06-07T20:22:52.726046,UPF-01,17.76,0.03,111.14
2026-06-07T20:22:52.726046,UPF-02,12.79,0.04,109.58
2026-06-07T20:37:52.726046,AMF-01,14.59,0.1,124.22
2026-06-07T20:37:52.726046,AMF-02,10.19,0.0,53.53
2026-06-07T20:37:52.726046,SMF-01,11.88,0.01,170.86
2026-06-07T20:37:52.726046,UPF-01,18.01,0.07,133.06
2026-06-07T20:37:52.726046,UPF-02,15.92,0.02,150.37
2026-06-07T20:52:52.726046,AMF-01,11.45,0.09,96.19
2026-06-07T20:52:52.726046,AMF-02,16.64,0.07,52.8
2026-06-07T20:52:52.726046,SMF-01,11.97,0.07,120.74
2026-06-07T20:52:52.726046,UPF-01,17.23,0.08,94.33
2026-06-07T20:52:52.726046,UPF-02,17.81,0.07,86.27
2026-06-07T21:07:52.726046,AMF-01,10.69,0.02,59.04
2026-06-07T21:07:52.726046,AMF-02,11.22,0.02,160.89
2026-06-07T21:07:52.726046,SMF-01,13.46,0.03,75.76
2026-06-07T21:07:52.726046,UPF-01,15.22,0.0,106.64
2026-06-07T21:07:52.726046,UPF-02,17.33,0.03,69.68
2026-06-07T21:22:52.726046,AMF-01,14.24,0.05,67.18
2026-06-07T21:22:52.726046,AMF-02,17.44,0.09,50.96
2026-06-07T21:22:52.726046,SMF-01,19.21,0.1,51.23
2026-06-07T21:22:52.726046,UPF-01,16.76,0.04,65.66
2026-06-07T21:22:52.726046,UPF-02,17.09,0.04,54.82
2026-06-07T21:37:52.726046,AMF-01,16.93,0.05,121.8
2026-06-07T21:37:52.726046,AMF-02,16.12,0.02,128.04
2026-06-07T21:37:52.726046,SMF-01,11.9,0.01,59.44
2026-06-07T21:37:52.726046,UPF-01,17.39,0.02,159.12
2026-06-07T21:37:52.726046,UPF-02,12.1,0.09,128.42
2026-06-07T21:52:52.726046,AMF-01,12.57,0.02,145.52
2026-06-07T21:52:52.726046,AMF-02,11.76,0.06,69.67
2026-06-07T21:52:52.726046,SMF-01,18.24,0.02,171.8
2026-06-07T21:52:52.726046,UPF-01,13.42,0.06,63.99
2026-06-07T21:52:52.726046,UPF-02,16.79,0.05,58.25
2026-06-07T22:07:52.726046,AMF-01,18.79,0.04,97.91
2026-06-07T22:07:52.726046,AMF-02,13.93,0.1,155.75
2026-06-07T22:07:52.726046,SMF-01,11.66,0.04,55.04
2026-06-07T22:07:52.726046,UPF-01,18.26,0.05,82.6
2026-06-07T22:07:52.726046,UPF-02,11.04,0.09,148.72
2026-06-07T22:22:52.726046,AMF-01,16.8,0.02,176.1
2026-06-07T22:22:52.726046,AMF-02,15.38,0.06,81.79
2026-06-07T22:22:52.726046,SMF-01,14.2,0.05,74.49
2026-06-07T22:22:52.726046,UPF-01,14.12,0.09,177.76
2026-06-07T22:22:52.726046,UPF-02,10.17,0.05,174.31
2026-06-07T22:37:52.726046,AMF-01,15.66,0.08,73.55
2026-06-07T22:37:52.726046,AMF-02,10.05,0.04,73.48
2026-06-07T22:37:52.726046,SMF-01,19.17,0.07,71.82
